identifier,name,description,image,url,interior,tipo-evento,isAccesibleForFree,eventAttendanceMode,workPerformed,doorTime,audience,maximunAttendeCapacity,typicalAgeRange,startDate,endDate,eventStatus,Provincia,Municipio,Distrito,Barrio,nombre,address,postalCode
11637393,Abalconados 2020,Comedia gestual sobre el confinamiento dirigida por Jony Elías.    ,https://www.madrid.es/UnidadesDescentralizadas/DistritoCiudadLineal/PROGRAMACIONCULTURAL/2022ABRIL/CC%20SAN%20JUAN%20BAUTISTA/Eventos/ficheros/Abalconados.jpeg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=55ed5d8cc3cbf710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/monologo,true,Presencial,,,Mayores,,12-99,2022-04-29T19:00+01:00,2022-04-29T20:20+01:00,Terminado,Madrid,Madrid,CIUDAD LINEAL,SAN JUAN BAUTISTA,Centro Cultural San Juan Bautista (Ciudad Lineal),CALLE SAN NEMESIO 4,28043
11637388,Amores en Quequén,"Compañía argentina en gira internacional, presenta una función con música en vivo al estilo de las comedias musicales, títeres grandes y retablos móviles. Una historia de almas gemelas.",https://www.madrid.es/UnidadesDescentralizadas/DistritoCiudadLineal/PROGRAMACIONCULTURAL/2022ABRIL/CC%20SAN%20JUAN%20BAUTISTA/Eventos/ficheros/Amores.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ab9d5d8cc3cbf710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/concierto,true,Presencial,,,Infantil,,2-99,2022-04-02T18:00+01:00,2022-04-02T19:00+01:00,Terminado,Madrid,Madrid,CIUDAD LINEAL,SAN JUAN BAUTISTA,Centro Cultural San Juan Bautista (Ciudad Lineal),CALLE SAN NEMESIO 4,28043
11578054,Antonio Lizana (Latina),"La música de Antonio Lizana supone un viaje desde las raíces del flamenco hasta el jazz contemporáneo, que se entrelaza con letras que muestran un compromiso personal con la verdad y con el desarrollo de la conciencia humana a nivel global.",https://www.madrid.es/UnidadesDescentralizadas/CiudadDistrito/ficheros/CIUDAD_DISTRITO_131667_es.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=052accd334b8e710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/concierto,true,Presencial,,,Todos los publicos,,16-99,2022-11-26T20:00+01:00,2022-11-26,Por empezar,Madrid,Madrid,LATINA,LAS AGUILAS,Auditorio y sala de exposiciones Paco de Lucía (Latina),AVENIDA LAS AGUILAS 2,28044
11591790,Ari Tavares - Villa de Vallecas,"Nacido en Portugal, Ari Tavares empezó su viaje musical desde su infancia en Cabo Verde, donde se especializó en beatbox y percusión. Interesado por los samples y las frecuencias, a través del ordenador descubrió la manera de producir todo tipo de sonoridades, desde el afro jazz a los sonidos funky, pasando por el lo-fi y el future rap.",https://www.madrid.es/UnidadesDescentralizadas/CiudadDistrito/ficheros/CIUDAD_DISTRITO_133738_es.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e445847c2f4ce710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/concierto,true,Presencial,,,Todos los publicos,,16-99,2022-10-22T20:00+01:00,2022-10-22,Por empezar,Madrid,Madrid,VILLA DE VALLECAS,SANTA EUGENIA,Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),CALLE REAL DE ARGANDA 39,28031
11615773,Asesoría informática,"Si tienes dudas básicas de informática y sobre el uso de tu móvil, tableta o tu ordenador, contacta con nosotras y te ayudaremos.",https://www.madrid.es/UnidadesDescentralizadas/IgualdadDeOportunidades/ContenidosBasicos/Actividades/Espacios%20Igualdad/2022/carmechacon/ficheros/permanente_asesoriainformatica_carmechacon.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3580746844f710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/taller,true,Presencial,,,Mujeres,,18-99,2022-03-07T13:30+01:00,2022-12-26T14:30+01:00,Por empezar,Madrid,Madrid,HORTALEZA,CANILLAS,Espacio de Igualdad Carme Chacón. Hortaleza,CALLE MATAPOZUELOS 2,28043
11566513,Batucada feminista,"Únete a este espacio de re-percusión. Un lugar de encuentro para mujeres, donde a través de la percusión y los ritmos propuestos, poder expresarnos, crear redes entre mujeres y fortalecer nuestro lado más artístico y creativo. ",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=08ae6591d0a2e710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/taller,true,Presencial,,,Mujeres,,18-99,2022-01-14T19:00+01:00,2022-06-17T20:30+01:00,Por empezar,Madrid,Madrid,RETIRO,ADELFAS,Espacio de Igualdad Elena Arnedo Soriano. Retiro,CALLE ARREGUI Y ARUEJ 31,28007
11580799,"Bengala, una vida en doce asaltos (Hortaleza)","El campeón Mundial de boxeo 'Maravilla' Martínez protagoniza esta obra que, en contraposición con su historia, habla de un sueño que se acaba, de un boxeador al que se le termina el tiempo de un reloj que golpea en su cabeza, una campana que lo aturde: su pasado y su presente. ",https://www.madrid.es/UnidadesDescentralizadas/CiudadDistrito/ficheros/CIUDAD_DISTRITO_132592_es.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=43f58e4cbaa9e710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,true,Presencial,,,Adultos,,18-99,2022-10-14T19:00+01:00,2022-10-14T20:30+01:00,Por empezar,Madrid,Madrid,HORTALEZA,CANILLAS,Centro Cultural Carril del Conde (Hortaleza),CALLE CARRIL DEL CONDE 57,28043
11640435,Cavernícola,"Establecida al inicio de los tiempos, cuando criaturas prehistóricas y Mamuts lanudos deambulaban por la tierra, El Cavernícola narra la historia de Dug, junto con su amigo Cerdog, cuando ellos unen a su tribu en contra del archienemigo Lord Nooth y su Ciudad de la Era del Bronce para salvar su hogar. Edad recomendada para todos los públicos.",https://www.madrid.es/UnidadesDescentralizadas/DistritoMoratalaz/Actividades/2022/Abril/ficheros/cavernicola.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c8152bbe480df710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/pelicula,true,Presencial,,,Infantil,,0-16,2022-04-02T12:00+01:00,2022-04-02,Terminado,Madrid,Madrid,MORATALAZ,VINATEROS,Centro Cultural el Torito (Moratalaz),AVENIDA MORATALAZ 130,28030
11566482,Círculo de mujeres: autodescubrimiento y autoestima,"Este es un espacio de encuentro para mujeres, donde nos reunimos para compartir nuestras experiencias, para expresarnos tal y como somos, para conectar con nuestra creatividad y sabiduría, para aprender con otras mujeres. Un taller para conocerte, abrazarte y cuidarte. ",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b93d6591d0a2e710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/taller,true,Presencial,,,Mujeres,,18-99,2022-04-07T18:30+01:00,2022-06-16T20:00+01:00,Por empezar,Madrid,Madrid,RETIRO,ADELFAS,Espacio de Igualdad Elena Arnedo Soriano. Retiro,CALLE ARREGUI Y ARUEJ 31,28007
11566487,Creciendo juntas,"A través del movimiento, el ritmo, la danza-baile, la expresividad, el trabajo con los personajes, el teatro, la voz y sonido creamos juntas un espacio para liberarnos de aquello que nos molesta y atormenta (soltar la rabia, la impotencia, la depresión, el dolor...).",,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bb9d6591d0a2e710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/taller,true,Presencial,,,Mujeres,,18-99,2022-03-30T17:00+01:00,2022-06-22T19:00+01:00,Por empezar,Madrid,Madrid,RETIRO,ADELFAS,Espacio de Igualdad Elena Arnedo Soriano. Retiro,CALLE ARREGUI Y ARUEJ 31,28007
10621974,Dance Studio 23,Participa en nuestro grupo de danzas urbanas y aprende todo tipo de pasos y estilos que te puedas imaginar y de forma gratuita. ¡No te lo pierdas! ,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=aaf8afe611991610VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/danza,true,Presencial,,,Jovenes,15,,2022-04-07T18:30+01:00,2022-04-28T19:30+01:00,Terminado,Madrid,Madrid,CARABANCHEL,BUENAVISTA,Centro Juvenil Carabanchel Alto,CALLE ALFONSO FERNANDEZ 23,28044
11587808,Degustación de felicidad,"Un espacio abierto para el autocuidado donde compartiremos estrategias y técnicas de relajación y bienestar aplicables a la vida cotidiana. Se trata de un taller pensado para hacer un alto en el camino para contactar con tu cuerpo, coger fuerza y cuidar de tu salud física y emocional. Si te apetece dedicarte un rato para ti y compartir con otras mujeres, no lo dudes ¡te esperamos todos los miércoles en este taller exprés antiestrés! Puedes venir a sesiones sueltas o de forma continuada.",https://www.madrid.es/UnidadesDescentralizadas/IgualdadDeOportunidades/ContenidosBasicos/Actividades/Espacios%20Igualdad/2022/elenaarnedo/ficheros/miercoles_felicidad_arnedo.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a9c8d03a6abe710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/taller,true,Presencial,,,Mujeres,,18-99,2022-04-06T10:30+01:00,2022-06-22T11:30+01:00,Por empezar,Madrid,Madrid,RETIRO,ADELFAS,Espacio de Igualdad Elena Arnedo Soriano. Retiro,CALLE ARREGUI Y ARUEJ 31,28007
11630237,Délica Chamber Orchestra,"La Délica Chamber Orchestra está integrada por:  Olga Iakushina Daria Chystiakova Claudia Ortiz Elizabeth Hernández ELizavetta Koroleva Karine Vardanyan Anastasija Averianova Nerea Sorozábal Rosa García Elizaveta Yaroshinskaia     Es un conjunto formado exclusivamente por mujeres con gran talento musical procedentes de las orquestas más prestigiosas de Europa como Inglaterra, Alemania, Austria, Hungría, Francia, España entre otros. Su repertorio abarca desde el barroco hasta la música moderna llegando así a todo tipo de géneros y estilos.      Programa de los temas:   Johann Sebastian BACH (1685-1750)  Concierto en sol menor BWV 1056r para violín y Orquesta  Allegro moderato   Largo    Presto      Concierto en mi mayor BWV 1042 para violín y Orquesta  Allegro   Adagio   Allegro assai    Concierto en la menor BWV 1041 para violín y Orquesta  Allegro   Andante   Allegro assai    Concierto en re menor BWV 1052a para violín y Orquesta  Allegro   Adagio   Allegro    Concierto en re menor BWV 1043 para dos violines y Orquesta  Vivace   Largo ma non tanto   Allegro",https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Vicalvaro/ficheros/delica.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=19b45fc1d339f710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/concierto,true,Presencial,,,Adultos,,16-99,2022-06-04T20:30+01:00,2022-06-04T20:30+01:00,Por empezar,Madrid,Madrid,VICALVARO,CASCO H.VICALVARO,Parroquia Santa María La Antigua,CALLE VIRGEN DE LA ANTIGUA 9,28032
11413107,Dystopie,"En Dystopie todos execran de la propiedad privada, pero secretamente trabajan para obtenerla. Todos detestan las diferencias, pero siempre buscan ser especiales. Todos odian el dinero, pero una vez obtenido nadie lo regala. Todos aborrecen la religión, pero abrazan sus propios dogmas inventados día a día. Todos ignoran la política, pero durante toda la vida no hacen más que votar a los mismos líderes que se alternan el poder entre ellos. Todos consideran que el estudio es lo más importante, pero odian las calificaciones.",https://www.madrid.es/UnidadWeb/UGBBDD/MadridDestino/ficheros/MADRID_DESTINO_35197_es.jpeg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=82293acad95f9710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/danza,true,Presencial,,,,Jovenes,16-99,2022-06-24T19:00+01:00,2022-07-10,Por empezar,Madrid,Madrid,ARGANZUELA,CHOPERA,Naves Español en Matadero,PASEO CHOPERA 14,28045
11636800,El libro que se sentía solo,"Actividad de animación a la lectura, para niñas y niños de 5 a 8 años, en la que disfrutaremos de este libro a través de diferentes recursos que nos hagan disfrutar de la misma. Imprescindible inscripción previa a través de formulario disponible, a partir del 4 de abril, en el apartado 'Información relacionada' Por cada inscripción entrará el menor participante acompañado de un adulto. La biblioteca confirmará la inscripción.",https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/CuentosInfantiles/HorasDeCuento/ficheros/LaHoradelCuentoPioBaroja_260x260.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=15f03301c1bbf710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/cuento,true,Presencial,,,Infantil,,5-8,2022-04-21T18:00+01:00,2022-04-21,Terminado,Madrid,Madrid,ARGANZUELA,ACACIAS,Biblioteca Pública Municipal Pío Baroja (Arganzuela),CALLE ARGANDA 12,28005
11638469,El profesor chiflado,Magia infantil. Sinopsis: Un espectáculo en el que la ciencia y la magia se unen de la mano para sorprender a los más pequeños con divertidos experimentos y juegos de magia. ,https://www.madrid.es/UnidadesDescentralizadas/DistritoMoratalaz/Actividades/2022/Abril/ficheros/chiflado.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c96fb2b0ea0cf710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/pelicula,true,Presencial,,,Infantil,,3-12,2022-04-09T18:00+01:00,2022-04-09,Terminado,Madrid,Madrid,MORATALAZ,VINATEROS,Centro Cultural el Torito (Moratalaz),AVENIDA MORATALAZ 130,28030
11643150,En un muelle de Normandía,"Una reconocida autora decide escribir un libro sobre la precariedad laboral. Para ello, ocultando su identidad, consigue trabajo como limpiadora en un pueblo de Normandía, y descubre una vida ignorada por el resto de la sociedad.",https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/SanBlas/ficheros/lossabcine.bmp,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=65c5f832825df710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/pelicula,true,Presencial,,,Jovenes,,12-99,2022-06-04T19:00+01:00,2022-06-04T20:45+01:00,Por empezar,Madrid,Madrid,SAN BLAS-CANILLEJAS,CANILLEJAS,Centro Cultural Buero Vallejo (San Blas - Canillejas),CALLE BOLTA&amp;Ntilde;A 27,28022
11413111,En un sol amarillo. Memorias de un temblor,"En un sol amarillo es una obra que reflexiona sobre la tragedia y la corrupción, recuenta la historia de una comunidad frente a la devastación. Está basada en el terremoto que en 1998 dejó decenas de comunidades bolivianas destruidas. ",https://www.madrid.es/UnidadWeb/UGBBDD/MadridDestino/ficheros/MADRID_DESTINO_35198_es.jpeg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=41793acad95f9710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,true,Presencial,,,Todos los publicos,,12-99,2022-07-13T19:30+01:00,2022-07-17,Por empezar,Madrid,Madrid,ARGANZUELA,CHOPERA,Naves Español en Matadero,PASEO CHOPERA 14,28045
11514185,Espacio de crianza y juego libre,El día 9 de noviembre dará comienzo el Espacio de Crianza y Juego Libre.,https://www.madrid.es/UnidadesDescentralizadas/DistritoRetiro/FICHEROS/FICHEROS%20ACTIVIDADES%20NOVIEMBRE/crianza.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cfe713f0840fc710VgnVCM1000001d4a900aRCRD,true,,true,Presencial,,,Familias,,0-99,2021-11-09T17:30+01:00,2022-06-28,Por empezar,Madrid,Madrid,RETIRO,PACIFICO,Centro Sociocultural Clara Campoamor (Retiro),PLAZA DAOIZ Y VELARDE 2,28007
11580736,GET NO - Latina,"GET NO es un lugar de paso en el que contemplar, un no lugar. Un millón de rincones transitables y encuentros fugaces como en un aeropuerto. Personas que se detienen, historias breves que son observadas en el tiempo que dura un pestañear de ojos o que puede durar eternamente.",https://www.madrid.es/UnidadesDescentralizadas/CiudadDistrito/ficheros/CIUDAD_DISTRITO_132606_es.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a361fc9c969e710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/danza,true,Presencial,,,Jovenes,,16-99,2022-06-18T19:00+01:00,2022-06-18,Por empezar,Madrid,Madrid,LATINA,LAS AGUILAS,Auditorio y sala de exposiciones Paco de Lucía (Latina),AVENIDA LAS AGUILAS 2,28044
11634548,Hechos luctuosos del Madrid Antiguo,"Acompáñanos en la visita guiada 'Hechos luctuosos del Madrid Antiguo', donde conoceremos aquellos acontecimientos y leyendas negras que removieron los sentimientos de la población. Incendios, historias urbanas, casas abandonadas, viviendas derribadas, epidemias, condenas y todas aquellas vivencias que vivieron los habitantes de la ciudad en aquella época tan sombría.",https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/RutasCulturales/ficheros/luctuosos_260.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=710cffb77b0bf710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/exposicion,true,Presencial,,,Todos los publicos,,0-99,2022-06-22T11:00+01:00,2022-06-22,Por empezar,Madrid,Madrid,CIUDAD LINEAL,LA ELIPA,Biblioteca Pública Municipal La Elipa (Ciudad Lineal),CALLE NUESTRA SEÑORA DEL VILLAR 6,28017
11637390,Homenaje a Sara Montiel,"Un homenaje a Sara Montiel lleno de respeto y admiración.  La cantante y compositora interpretará sus temas más populares, acompañándose de proyecciones con fragmentos de sus películas. ",https://www.madrid.es/UnidadesDescentralizadas/DistritoCiudadLineal/PROGRAMACIONCULTURAL/2022ABRIL/CC%20SAN%20JUAN%20BAUTISTA/Eventos/ficheros/Pepa.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5bd5d8cc3cbf710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/concierto,true,Presencial,,,Todos los publicos,,16-99,2022-04-09T19:00+01:00,2022-04-09T20:00+01:00,Terminado,Madrid,Madrid,CIUDAD LINEAL,SAN JUAN BAUTISTA,Centro Cultural San Juan Bautista (Ciudad Lineal),CALLE SAN NEMESIO 4,28043
